the,1,22038615,0.98,3,determiner
be,2,12545825,0.97,2,verb
and,3,10741073,0.99,3,conjunction
of,4,10343885,0.97,2,preposition
a,5,10144200,0.98,1,determiner
in,6,6996437,0.98,2,preposition
to,7,6332195,0.98,2,preposition
have,8,4303955,0.97,4,verb
to,9,3856916,0.99,2,preposition
it,10,3872477,0.96,2,pronoun
I,11,3978265,0.93,1,pronoun
that,12,3430996,0.97,4,conjunction
for,13,3281454,0.98,3,preposition
you,14,3081151,0.92,3,pronoun
he,15,2909254,0.94,2,pronoun
with,16,2683014,0.99,4,preposition
on,17,2485306,0.99,2,preposition
do,18,2573587,0.95,2,verb
say,19,1915138,0.95,3,verb
this,20,1885366,0.96,4,determiner
they,21,1865580,0.96,4,pronoun
at,22,1767638,0.98,2,preposition
but,23,1776767,0.97,3,conjunction
we,24,1820935,0.94,2,pronoun
his,25,1801708,0.95,3,determiner
from,26,1635914,0.99,4,preposition
that,27,1712406,0.94,4,determiner
not,28,1638830,0.98,3,adverg
n't,29,1619007,0.97,3,adverg
by,30,1490548,0.96,2,preposition
she,31,1484869,0.91,3,pronoun
or,32,1379320,0.97,2,conjunction
as,33,1296879,0.98,2,conjunction
what,34,1181023,0.94,4,determiner
go,35,1151045,0.93,2,verb
their,36,1083029,0.97,5,determiner
can,37,1022775,0.98,3,verb
who,38,1018283,0.97,3,pronoun
get,39,992596,0.94,3,verb
if,40,933542,0.97,2,conjunction
would,41,925515,0.97,5,verb
her,42,969591,0.91,3,determiner
all,43,892102,0.98,3,determiner
my,44,919821,0.93,2,determiner
make,45,857168,0.98,4,verb
about,46,874406,0.96,5,preposition
know,47,892535,0.93,4,verb
will,48,824568,0.97,4,verb
as,49,829018,0.95,2,preposition
up,50,795534,0.95,2,adverb
one,51,768232,0.98,3,number
time,52,764657,0.98,4,noun
there,53,784528,0.96,5,adverb
year,54,769254,0.96,4,noun
so,55,756550,0.95,2,adverb
think,56,772787,0.91,5,verb
when,57,678626,0.98,4,conjunction
which,58,685982,0.96,5,determiner
them,59,677870,0.97,4,pronoun
some,60,674193,0.98,4,determiner
me,61,709623,0.92,2,pronoun
people,62,691468,0.95,6,noun
take,63,670745,0.97,4,verb
out,64,678603,0.96,3,adverb
into,65,668172,0.97,4,preposition
just,66,677711,0.94,4,adverb
see,67,663645,0.96,3,verb
him,68,677707,0.92,3,pronoun
your,69,659622,0.94,4,determiner
come,70,628254,0.95,4,verb
could,71,617932,0.96,5,verb
now,72,605997,0.94,3,adverb
than,73,579757,0.97,4,conjunction
like,74,568850,0.96,4,preposition
other,75,547799,0.97,5,adjective
how,76,538893,0.97,3,adverb
then,77,543977,0.95,4,adverb
its,78,539719,0.96,3,determiner
our,79,525107,0.97,3,determiner
two,80,511027,0.99,3,number
more,81,517536,0.97,4,adverb
these,82,513864,0.95,5,determiner
want,83,514972,0.95,4,verb
way,84,470401,0.98,3,noun
look,85,491707,0.93,4,verb
first,86,463566,0.98,5,number
also,87,464606,0.96,4,adverb
new,88,435993,0.97,3,adjective
because,89,438539,0.96,7,conjunction
day,90,432773,0.97,3,noun
more,91,420170,0.97,4,determiner
use,92,420781,0.96,3,verb
no,93,402222,0.98,2,determiner
man,94,409760,0.95,3,noun
find,95,395203,0.98,4,verb
here,96,412315,0.93,4,adverb
thing,97,400724,0.94,5,noun
give,98,384503,0.98,4,verb
many,99,385348,0.97,4,determiner
well,100,411776,0.91,4,adverb
only,101,379574,0.98,4,adverb
those,102,378007,0.97,5,determiner
tell,103,388155,0.94,4,verb
one,104,369553,0.98,3,pronoun
very,105,391821,0.92,4,adverb
her,106,397950,0.89,3,pronoun
even,107,361067,0.98,4,adverb
back,108,367844,0.94,4,adverb
any,109,348100,0.98,3,determiner
good,110,353973,0.96,4,adjective
woman,111,341422,0.98,5,noun
through,112,340921,0.98,7,preposition
us,113,351088,0.95,2,pronoun
life,114,333085,0.98,4,noun
child,115,333849,0.97,5,noun
there,116,333433,0.93,5,adverb
work,117,318210,0.98,4,verb
down,118,329409,0.94,4,adverb
may,119,324569,0.95,3,verb
after,120,311902,0.98,5,preposition
should,121,310265,0.98,6,verb
call,122,308050,0.97,4,verb
world,123,303506,0.97,5,noun
over,124,300349,0.98,4,preposition
school,125,304183,0.95,6,noun
still,126,296953,0.97,5,adverb
try,127,294023,0.96,3,verb
in,128,285035,0.98,2,adverb
as,129,281483,0.98,2,adverb
last,130,289843,0.95,4,number
ask,131,284632,0.96,3,verb
need,132,276744,0.98,4,verb
too,133,280396,0.96,3,adverb
feel,134,275214,0.95,4,verb
three,135,266744,0.98,5,number
when,136,268219,0.97,4,adverb
state,137,272193,0.94,5,noun
never,138,262584,0.96,5,adverb
become,139,259102,0.97,6,verb
between,140,264158,0.94,7,preposition
high,141,255936,0.96,4,adjective
really,142,263414,0.91,6,adverb
something,143,254910,0.94,9,pronoun
